new_rank,gene_list,old_rank,overlapped genes or not
338,SMAD2,4017,0
339,CUL2,1288,0
340,HIST1H3J,140,0
341,HNRNPK,3091,0
342,NRXN1,2654,1
343,CYLC2,3708,0
344,MYH14,2145,0
345,MRPS7,624,0
346,RNF2,893,0
347,PKN1,752,0
348,CCT5,8314,0
349,ACTC1,2493,0
350,PTK7,231,0
351,CETN1,2710,0
352,PSMD2,9349,0
353,PRSS16,47,0
354,UBR5,1112,0
355,CPA2,1682,0
356,CRX,3045,0
357,SNX8,49,0
358,INHBA,135,0
359,CUL1,10844,0
360,KAT5,11963,0
361,YWHAG,4001,0
362,ICAM1,4040,0
363,TCF3,10182,0
364,DDX5,1497,0
365,SEC23A,4342,0
366,FEZ1,73,0
367,HELLS,239,0
368,FGR,4578,0
369,MYOD1,13447,0
370,CCDC39,50,0
371,RANGAP1,860,0
372,AP2M1,4664,0
373,C1QBP,9931,0
374,DRD2,4722,1
375,HCLS1,431,0
376,TRIM38,97,0
377,MDFI,4819,0
378,TOP1,1140,0
379,PTEN,9962,0
380,CDK1,NA,0
381,CALN1,67,0
382,TXN,1849,0
383,VCP,9265,0
384,NEK4,190,0
385,PIK3CG,5026,0
386,PSMC5,5609,0
387,SLC5A5,5312,0
388,RAN,11758,0
389,PDGFRA,12539,0
390,SPCS1,191,0
391,TF,2548,0
392,GRM1,958,0
393,EIF4E2,197,0
394,MYO15A,4454,0
395,PPP1CB,4746,0
396,CEP170,1462,0
397,HSPA9,NA,0
398,FSTL4,362,0
399,MRPL3,3272,0
400,ATF1,487,0
401,RRP12,139,0
402,BTN3A1,98,0
403,F7,8551,0
404,BNIP2,258,0
405,IQCB1,776,0
406,EFEMP2,6834,0
407,CDK5,3246,1
408,AP3B2,289,0
409,TP63,5893,0
410,TCP10L,66,0
411,GRIA1,345,0
412,WWOX,452,0
413,ACR,648,0
414,CALM3,13047,0
415,GRIN2B,1504,1
416,EMX1,128,0
417,MAPK11,3805,0
418,PSME3,1883,0
419,KALRN,886,0
420,SLC33A1,762,0
421,PRKAR1A,3674,0
422,NEUROD2,14073,0
423,SLCO6A1,174,0
424,IFT172,79,0
425,PSMC6,13399,0
426,LRP5,158,0
427,ALAS1,355,0
428,PITX3,908,0
429,RYR2,282,0
430,SDCBP,9838,0
431,MAPK9,1440,0
432,THRB,144,0
433,NUDC,1136,0
434,HIST1H3B,78,0
435,CKAP5,1490,0
436,CCNB1,14738,0
437,CXCL12,2557,0
438,CAMK2A,11844,0
439,DPF3,113,0
440,CFTR,5612,0
441,PPM1F,433,0
442,SERPINF1,121,0
443,IQGAP1,6360,0
444,TCP1,12406,0
445,NUP37,2431,0
446,PPP1R12A,10179,0
447,DICER1,5160,0
448,MAZ,4859,0
449,EIF2B4,326,0
450,STK11,2281,0
451,CSE1L,7014,0
452,FOS,7699,1
453,SERPINF2,120,0
454,INSR,2740,0
455,FBN1,1902,0
456,NPM1,7781,0
457,PDGFB,6994,0
458,ADCY1,1300,0
459,SDCCAG8,63,0
460,ACTG2,2063,0
461,HSPH1,8402,0
462,TRIM24,253,0
463,IARS,7097,0
464,PSMD12,1662,0
465,LIMA1,271,0
466,RANBP2,11555,0
467,MPP3,9607,0
468,ACTN1,2987,0
469,ACTL6B,3840,0
470,TOP2A,11272,0
471,FOXN2,93,0
472,PRMT1,5716,0
473,LRP8,116,0
474,ILF3,2068,0
475,GGA3,88,0
476,TEK,1093,0
477,PRKDC,7624,0
478,NUP85,569,0
479,MATR3,887,0
480,MFHAS1,69,0
481,GNAI1,4481,0
482,NCOR2,970,0
483,CYP2C19,225,1
484,RIMS1,164,0
485,CUL9,58,0
486,FEN1,6495,0
487,GIGYF2,89,0
488,RAC2,12222,0
489,MFAP1,547,0
490,SEC11A,443,0
491,NOS2,314,0
492,ZYX,1863,0
493,NGEF,68,0
494,FURIN,1325,0
495,SLTM,346,0
496,AR,NA,0
497,GMPS,10183,0
498,RELA,14778,1
499,HSF2BP,2040,0
500,NUP50,385,0
501,GCKR,105,0
502,LEF1,11121,0
503,TRA2B,803,0
504,CSNK1A1,11036,0
505,TMX2,100,0
506,HTR2A,2074,1
507,MBNL1,612,0
508,GART,8050,0
509,ATP2B2,2685,0
510,PDIA6,2480,0
511,CREB5,280,0
512,ACTR1A,1376,0
513,LEP,3217,1
514,SLC2A2,976,0
515,PRKCG,12183,0
516,SRPK1,8455,0
517,PIN1,1860,0
518,EGR1,5639,1
519,P4HB,14859,0
520,EWSR1,10738,0
521,FOXP1,134,0
522,SNAP25,3249,0
523,LAPTM5,971,0
524,NF1,3080,0
525,GEM,774,0
526,SYNJ1,441,0
527,PAK2,2429,1
528,UBE2N,10300,0
529,STAT1,4929,0
530,VCAM1,5765,0
531,PTBP2,160,0
532,XRCC5,6221,0
533,AQP2,2012,0
534,DYNLL1,13246,0
535,TNFSF10,1591,0
536,DNAJB1,1096,0
537,LCK,13497,0
538,EPHA1,1864,0
539,DPM1,6727,0
540,ILF2,12088,0
541,NDUFA13,273,0
542,AHSA1,1277,0
543,PXN,1588,0
544,CLP1,106,0
545,AGBL3,64,0
546,SMARCA4,5414,0
547,PHF7,335,0
548,UBA2,3816,0
549,HMOX2,133,0
550,INA,540,0
551,SLC17A2,166,0
552,GAD2,2499,1
553,JAK2,7393,0
554,HIF1A,10433,0
555,RPA3,2496,0
556,HNRNPD,4591,0
557,GABARAP,5962,0
558,NOG,5345,0
559,NDUFAB1,2006,0
560,PRL,11379,1
561,TXNRD2,83,0
562,PLCG1,1714,0
563,IDH3B,693,0
564,FOXF2,1028,0
565,SRP54,914,0
566,H2AFZ,6786,0
567,TBP,NA,0
568,ACSL1,1613,0
569,PRPF31,1132,0
570,ACTL6A,14494,0
571,PKM,NA,0
572,NSF,4188,0
573,CANX,10375,0
574,CCT4,14457,0
575,ITGAL,1227,0
576,SYNCRIP,4977,0
577,FBL,11023,0
578,HSP90B1,3297,0
579,CHUK,2950,0
580,YTHDC2,2194,0
581,EIF4A2,1315,0
582,POMC,3725,0
583,GNAQ,3899,0
584,TSHB,2584,0
585,PICK1,6166,0
586,NCK1,5182,0
587,KIF5A,13325,0
588,SMC3,12985,0
589,IL1B,13469,1
590,NUP54,283,0
591,NEDD4,1599,0
592,HIST1H2AB,91,0
593,EEF1G,4410,0
594,WDR82,220,0
595,PBRM1,171,0
596,CUL5,8899,0
597,TFRC,5714,0
598,VAPA,1484,0
599,RPS6KA2,361,0
600,PSD3,96,0
601,RUNX2,5161,0
602,ATP1A1,5238,0
603,XPOT,1560,0
604,ADNP,4536,0
605,KCNQ1,244,0
606,LBR,2603,0
607,BAP1,349,0
608,POLR2G,3113,0
609,HSPA14,2616,0
610,DNAJC19,123,0
611,PAICS,7621,0
612,SOD1,8594,1
613,CDK3,996,0
614,PPP2R2B,870,0
615,PTPN11,6157,0
616,ADCYAP1,7819,0
617,EEF1A2,809,0
618,ZDHHC5,109,0
619,EXOSC8,2775,0
620,CLTC,7569,0
621,CXCL8,NA,0
622,CRK,6240,0
623,PKLR,6944,0
624,CSK,5123,0
625,NOC3L,1775,0
626,USP10,986,0
627,VIM,13408,0
628,DDX24,298,0
629,CDC20,4725,0
630,BANK1,84,0
631,SUFU,154,0
632,SNRNP70,3171,0
633,BTNL2,86,0
634,SOS1,3244,0
635,PTPRT,678,0
636,EPRS,5228,0
637,PSMD8,2346,0
638,H2AFX,11981,0
639,MYO1C,6241,0
640,PTPRM,270,0
641,EPHA2,4636,0
642,CSNK2A2,3094,0
643,CDH4,257,0
644,MUSTN1,60,0
645,IRF3,2307,0
646,MAP2K1,5139,0
647,ITK,5034,0
648,ACVR1,1083,0
649,HIST1H2AH,179,0
650,ZBTB16,439,0
651,CCNA2,2999,0
